Lead_ID,City,Course_Interest,Lead_Source,Date
L00151,Pune,Business Analytics,Linkedin,2025/03/12
L00152,Hyderabad,Data Science,Instagram,
L00153,Kolkata,Data Science,Campus Drive,2025/03/27
L00154,Delhi,data science,Instagram,2025/01/28
L00155,Kolkata,AI/ML,Referral,2025/03/07
L00156,Mumbai,AI ml,LinkedIn,2025/06/19
L00157,Chennai,,LinkedIn,2025/02/14
L00158,Kolkata,AI ml,instagram,2025/03/03
L00159,Hyderabad,AI/ML,Campus Drive,2025/05/14
L00160,,Data Science,LinkedIn,2025/01/28
L00161,Kolkata,AI/ML,Website,2025/01/28
L00162,Pune,,Website,2025/04/18
L00163,Ahmedabad,Business Analytics,LinkedIn,2025/02/13
L00164,Delhi,Data Analytics,instagram,2025/03/25
L00165,Hyderabad,Data Science,Instagram,2025/01/30
L00166,Hyderabad,AI/ML,,
L00167,Mumbai,Data Science,Referral,2025/03/16
L00168,Hyderabad,Data Analytics,Campus Drive,2025/05/08
L00169,Delhi,AI/ML,Website,2025/04/02
L00170,Pune,Business Analytics,Website,2025/05/09
L00171,Ahmedabad,Data Analytics,Website,2025/05/01
L00172,,,Instagram,2025/01/27
L00173,Kolkata,,LinkedIn,2025/05/01
L00174,Hyderabad,Data Science,instagram,2025/04/26
L00175,,,Website,03-01-2025
L00176,Chennai,AI/ML,Email Campaign,2025/04/13
L00177,,,Campus Drive,2025/06/04
L00178,Pune,Business Analytics,Referral,2025/05/17
L00179,,data science,Linkedin,2025/03/03
L00180,Mumbai,AI/ML,LinkedIn,2025/06/14
L00181,Pune,data science,Referral,2025/02/20
L00182,,Data Science,LinkedIn,2025/06/21
L00183,Delhi,Data Science,,2025/06/01
L00184,Kolkata,AI ml,LinkedIn,2025/02/28
L00185,Pune,,Instagram,2025/04/28
L00186,Bangalore,,Campus Drive,2025/06/09
L00187,Kolkata,Data Science,instagram,2025/04/06
L00188,Bangalore,AI/ML,LinkedIn,29-06-2025
L00189,Hyderabad,Data Analytics,,2025/04/23
L00190,Chennai,Data Science,Instagram,2025/03/03
L00191,Pune,AI ml,Instagram,2025/02/21
L00192,Kolkata,Business Analytics,Linkedin,2025/01/12
L00193,Mumbai,AI/ML,Referral,2025/02/08
L00194,Bangalore,Data Analytics,,2025/05/10
L00195,Ahmedabad,AI ml,Linkedin,2025/05/11
L00196,,AI ml,Email Campaign,2025/04/23
L00197,Kolkata,Data Analytics,Campus Drive,2025/04/11
L00198,Chennai,AI ml,Email Campaign,2025/04/23
L00199,Pune,AI/ML,LinkedIn,2025/03/22
L00200,Kolkata,Data Science,Referral,2025/04/23
L00201,Pune,Data Analytics,Website,02-01-2025
L00202,Delhi,Business Analytics,Website,2025/05/10
L00203,Bangalore,data science,Instagram,2025/02/23
L00204,Kolkata,AI/ML,Linkedin,2025/03/28
L00205,Kolkata,,Website,2025/05/09
L00206,Chennai,data science,Instagram,2025/05/27
L00207,Chennai,Data Science,Campus Drive,06-05-2025
L00208,,AI ml,Instagram,2025/05/10
L00209,Mumbai,AI/ML,Instagram,2025/02/22
L00210,Pune,Business Analytics,Instagram,2025/06/21
L00211,,data science,LinkedIn,2025/06/09
L00212,,data science,Instagram,
L00213,Chennai,Data Analytics,Email Campaign,2025/06/09
L00214,,Data Science,instagram,09-03-2025
L00215,Hyderabad,Data Science,Instagram,2025/05/03
L00216,,AI/ML,Instagram,2025/05/25
L00217,Bangalore,AI/ML,,2025/02/07
L00218,Kolkata,Business Analytics,,24-01-2025
L00219,Chennai,AI ml,Instagram,2025/03/10
L00220,Kolkata,AI ml,Linkedin,2025/04/26
L00221,,,Website,2025/04/08
L00222,Delhi,AI/ML,instagram,19-05-2025
L00223,Chennai,data science,Instagram,2025/05/24
L00224,Chennai,AI/ML,instagram,2025/04/07
L00225,Ahmedabad,AI/ML,Instagram,2025/05/04
L00226,Kolkata,AI ml,Website,2025/03/11
L00227,Chennai,Business Analytics,instagram,2025/04/03
L00228,Delhi,Data Analytics,Instagram,2025/01/03
L00229,Delhi,,,2025/05/28
L00230,Bangalore,Business Analytics,Referral,2025/06/13
L00231,Pune,AI/ML,LinkedIn,2025/05/27
L00232,Chennai,Data Analytics,Campus Drive,2025/03/31
L00233,Delhi,AI/ML,Linkedin,2025/05/27
L00234,Delhi,Business Analytics,Campus Drive,2025/05/28
L00235,Bangalore,Data Science,Referral,2025/04/06
L00236,Ahmedabad,AI/ML,LinkedIn,2025/02/21
L00237,Pune,AI ml,Referral,2025/06/10
L00238,Mumbai,Data Analytics,instagram,2025/06/17
L00239,Chennai,,,08-05-2025
L00240,Mumbai,Data Science,Linkedin,2025/02/08
L00241,Mumbai,AI/ML,Email Campaign,2025/03/23
L00242,,AI/ML,,2025/04/14
L00243,Ahmedabad,Data Analytics,instagram,2025/05/09
L00244,,AI ml,Website,2025/01/11
L00245,Kolkata,AI ml,Instagram,27-06-2025
L00246,,Data Science,Referral,2025/05/31
L00247,Bangalore,Data Science,,2025/06/08
L00248,Delhi,Data Science,Linkedin,2025/02/11
L00249,Delhi,AI/ML,Email Campaign,2025/04/09
L00250,Pune,Data Science,Linkedin,2025/01/07
L00251,Ahmedabad,AI/ML,Linkedin,24-05-2025
L00252,Delhi,AI/ML,Website,2025/03/31
L00253,,data science,Email Campaign,2025/04/22
L00254,,Data Science,instagram,2025/03/01
L00255,,Business Analytics,LinkedIn,23-04-2025
L00256,Mumbai,AI ml,instagram,2025/01/02
L00257,Kolkata,,Email Campaign,
L00258,Delhi,,LinkedIn,2025/05/09
L00259,Mumbai,Business Analytics,LinkedIn,17-02-2025
L00260,Delhi,Data Science,Email Campaign,2025/05/20
L00261,Chennai,AI/ML,Website,2025/02/06
L00262,Hyderabad,Data Analytics,Email Campaign,2025/06/09
L00263,Bangalore,Business Analytics,,2025/01/09
L00264,Bangalore,,Instagram,09-04-2025
L00265,Delhi,,Website,2025/05/27
L00266,,AI/ML,LinkedIn,2025/02/17
L00267,Ahmedabad,,Website,2025/05/11
L00268,Pune,,LinkedIn,2025/05/28
L00269,,AI/ML,Website,01-06-2025
L00270,Ahmedabad,Data Science,Campus Drive,2025/02/23
L00271,,AI ml,instagram,2025/04/30
L00272,Chennai,data science,LinkedIn,2025/06/10
L00273,,AI ml,LinkedIn,2025/06/01
L00274,Pune,,LinkedIn,2025/04/26
L00275,Bangalore,data science,Email Campaign,2025/03/16
L00276,,data science,Linkedin,2025/04/23
L00277,,Data Science,Campus Drive,
L00278,Ahmedabad,Data Analytics,Website,2025/06/13
L00279,Kolkata,Data Science,,2025/06/15
L00280,Ahmedabad,AI/ML,Instagram,14-04-2025
L00281,Bangalore,AI/ML,LinkedIn,2025/03/25
L00282,,AI/ML,instagram,2025/04/22
L00283,,,Website,2025/04/09
L00284,,Business Analytics,,2025/06/02
L00285,,,Instagram,2025/04/03
L00286,Delhi,Data Science,,2025/05/26
L00287,Chennai,Data Analytics,Email Campaign,2025/05/08
L00288,Pune,Data Analytics,Instagram,2025/04/20
L00289,Chennai,Data Analytics,,2025/03/23
L00290,Kolkata,data science,,2025/02/23
L00291,Bangalore,Data Analytics,Referral,2025/06/12
L00292,,data science,instagram,2025/06/18
L00293,Hyderabad,Business Analytics,Website,2025/06/10
L00294,Chennai,AI ml,Linkedin,2025/03/09
L00295,Mumbai,Data Analytics,Website,2025/02/02
L00296,Hyderabad,data science,instagram,2025/05/22
L00297,Chennai,,Campus Drive,21-01-2025
L00298,Mumbai,Data Analytics,Referral,2025/02/17
L00299,Bangalore,AI/ML,instagram,2025/05/28
L00300,,Data Science,LinkedIn,08-05-2025
L00301,,,Campus Drive,2025/05/16
L00302,,Business Analytics,instagram,2025/05/15
L00303,Chennai,,Website,2025/05/25
L00304,,AI/ML,Campus Drive,2025/05/08
L00305,Chennai,Data Analytics,Linkedin,
L00306,Bangalore,Data Analytics,Website,02-02-2025
L00307,Mumbai,Business Analytics,,2025/06/25
L00308,,AI ml,Referral,2025/04/25
L00309,Hyderabad,Data Science,LinkedIn,2025/04/29
L00310,Mumbai,Data Analytics,Linkedin,22-01-2025
L00311,Hyderabad,data science,Linkedin,2025/06/07
L00312,Hyderabad,Business Analytics,Instagram,2025/02/07
L00313,Bangalore,AI ml,,2025/04/19
L00314,Pune,AI ml,LinkedIn,2025/02/20
L00315,Pune,AI ml,Campus Drive,2025/01/08
L00316,,Data Analytics,Email Campaign,2025/01/27
L00317,Kolkata,data science,,2025/01/27
L00318,Ahmedabad,AI ml,Instagram,2025/01/21
L00319,Pune,,,2025/01/30
L00320,,Business Analytics,Linkedin,2025/04/07
L00321,Hyderabad,Business Analytics,instagram,2025/01/28
L00322,,Business Analytics,LinkedIn,2025/04/21
L00323,Pune,Data Analytics,instagram,2025/03/02
L00324,Bangalore,Business Analytics,LinkedIn,2025/02/17
L00325,,,,
L00326,Ahmedabad,Data Science,Campus Drive,2025/05/27
L00327,Chennai,Data Science,LinkedIn,2025/01/04
L00328,Kolkata,AI/ML,Referral,2025/02/04
L00329,Hyderabad,,,2025/02/18
L00330,Hyderabad,,Campus Drive,2025/01/17
L00331,Chennai,Business Analytics,Referral,2025/06/21
L00332,Pune,AI ml,Linkedin,07-06-2025
L00333,,AI/ML,Website,2025/02/15
L00334,Chennai,data science,Email Campaign,2025/04/27
L00335,,data science,Instagram,2025/01/06
L00336,Hyderabad,,Website,2025/04/09
L00337,Ahmedabad,,Linkedin,2025/05/04
L00338,Pune,,Email Campaign,2025/02/06
L00339,,Data Analytics,Campus Drive,2025/01/24
L00340,Hyderabad,,Linkedin,2025/04/03
L00341,Chennai,data science,Website,2025/02/15
L00342,,Data Analytics,LinkedIn,2025/04/05
L00343,,AI ml,Linkedin,2025/04/09
L00344,Hyderabad,data science,Campus Drive,2025/04/26
L00345,Hyderabad,,,2025/06/09
L00346,Ahmedabad,AI ml,Website,2025/06/10
L00347,Ahmedabad,data science,,2025/03/08
L00348,Delhi,Data Science,Email Campaign,08-05-2025
L00349,Chennai,AI ml,Referral,
L00350,Bangalore,Data Analytics,LinkedIn,2025/01/18
L00351,Chennai,AI ml,Email Campaign,2025/01/25
L00352,Ahmedabad,Data Analytics,Campus Drive,2025/02/23
L00353,Delhi,AI ml,Referral,2025/02/27
L00354,Pune,Business Analytics,Email Campaign,2025/03/08
L00355,Hyderabad,,instagram,2025/04/14
L00356,Kolkata,AI/ML,Campus Drive,2025/06/23
L00357,Chennai,AI ml,Linkedin,2025/01/24
L00358,Chennai,AI/ML,Referral,2025/04/24
L00359,Mumbai,AI/ML,instagram,2025/02/01
L00360,Ahmedabad,AI/ML,Email Campaign,2025/06/24
L00361,Kolkata,Data Science,Referral,2025/03/27
L00362,,AI/ML,instagram,2025/05/31
L00363,Mumbai,data science,Campus Drive,2025/05/07
L00364,Bangalore,Business Analytics,instagram,2025/06/04
L00365,Chennai,AI/ML,Website,10-05-2025
L00366,Delhi,Business Analytics,Linkedin,2025/01/17
L00367,Delhi,Data Analytics,Campus Drive,14-04-2025
L00368,,AI ml,Campus Drive,2025/06/10
L00369,,data science,Instagram,2025/05/17
L00370,Mumbai,,Linkedin,2025/02/12
L00371,Mumbai,AI ml,Referral,25-06-2025
L00372,Delhi,AI ml,,2025/02/08
L00373,Delhi,AI/ML,Website,2025/06/19
L00374,Hyderabad,Business Analytics,Referral,2025/01/26
L00375,Delhi,data science,Campus Drive,2025/04/09
L00376,Ahmedabad,Business Analytics,instagram,2025/02/19
L00377,Delhi,,Referral,2025/06/02
L00378,Mumbai,Data Analytics,LinkedIn,2025/06/01
L00379,Hyderabad,AI/ML,Email Campaign,2025/01/13
L00380,Bangalore,Business Analytics,Campus Drive,2025/03/01
L00381,Mumbai,AI ml,Email Campaign,2025/05/15
L00382,Delhi,AI/ML,Instagram,2025/02/26
L00383,Delhi,data science,Instagram,2025/02/05
L00384,Delhi,Data Science,Campus Drive,2025/06/22
L00385,Hyderabad,AI ml,instagram,2025/01/20
L00386,Chennai,Business Analytics,instagram,2025/03/06
L00387,Hyderabad,Data Analytics,Instagram,2025/01/08
L00388,Pune,data science,Referral,2025/05/24
L00389,Ahmedabad,,Email Campaign,2025/05/22
L00390,Kolkata,Business Analytics,Referral,2025/04/25
L00391,Ahmedabad,Data Science,instagram,2025/05/23
L00392,Delhi,,Email Campaign,2025/04/02
L00393,Kolkata,Data Analytics,Referral,2025/04/08
L00394,Bangalore,AI/ML,Referral,2025/03/07
L00395,,AI/ML,,2025/02/01
L00396,Mumbai,Business Analytics,Website,2025/03/27
L00397,Chennai,,,2025/02/20
L00398,,Data Science,LinkedIn,2025/06/02
L00399,Hyderabad,Data Science,instagram,2025/03/04
L00400,Pune,Data Analytics,Email Campaign,2025/05/05
L00401,,data science,Linkedin,2025/05/30
L00402,Ahmedabad,,,2025/02/27
L00403,,,Email Campaign,2025/02/27
L00404,Pune,AI/ML,LinkedIn,2025/03/27
L00405,Delhi,AI ml,Campus Drive,2025/02/18
L00406,Hyderabad,Data Analytics,Website,2025/06/29
L00407,Hyderabad,Data Analytics,Website,2025/06/19
L00408,Mumbai,data science,Referral,2025/03/11
L00409,Kolkata,Data Analytics,Instagram,2025/01/15
L00410,Kolkata,,,2025/02/23
L00411,,AI ml,Campus Drive,2025/04/11
L00412,Bangalore,AI/ML,instagram,2025/01/08
L00413,Kolkata,Data Analytics,instagram,2025/02/22
L00414,Kolkata,AI/ML,instagram,2025/03/01
L00415,Delhi,data science,Referral,2025/04/18
L00416,Delhi,Data Analytics,Campus Drive,
L00417,Pune,,Campus Drive,2025/01/05
L00418,Hyderabad,AI/ML,Referral,2025/04/13
L00419,Hyderabad,Business Analytics,Email Campaign,2025/01/06
L00420,Hyderabad,AI ml,instagram,2025/04/19
L00421,Pune,data science,Referral,
L00422,,Data Analytics,,2025/04/26
L00423,Delhi,,,2025/04/04
L00424,Pune,AI/ML,Instagram,2025/02/16
L00425,Hyderabad,Data Science,Referral,2025/04/09
L00426,,,LinkedIn,2025/02/24
L00427,Delhi,,Campus Drive,2025/06/17
L00428,Chennai,Data Science,instagram,2025/02/21
L00429,Kolkata,Data Science,Email Campaign,2025/05/24
L00430,Delhi,AI ml,instagram,2025/01/13
L00431,Delhi,Business Analytics,Website,2025/04/24
L00432,Hyderabad,Business Analytics,Referral,2025/05/04
L00433,Ahmedabad,Business Analytics,Email Campaign,2025/04/16
L00434,,,Email Campaign,
L00435,Delhi,AI ml,Email Campaign,2025/06/07
L00436,Pune,,,2025/05/27
L00437,Bangalore,,Email Campaign,2025/05/25
L00438,Hyderabad,Business Analytics,LinkedIn,2025/04/30
L00439,Hyderabad,AI/ML,,2025/03/04
L00440,Ahmedabad,AI ml,Campus Drive,2025/01/19
L00441,Mumbai,,instagram,
L00442,Bangalore,,Email Campaign,2025/04/02
L00443,Chennai,,,2025/02/27
L00444,Kolkata,Business Analytics,Website,2025/03/31
L00445,Mumbai,Data Analytics,Linkedin,2025/04/27
L00446,,Business Analytics,Referral,2025/03/03
L00447,Delhi,Data Analytics,Email Campaign,2025/01/23
L00448,,Business Analytics,Website,2025/05/07
L00449,Chennai,AI ml,Website,2025/05/17
L00450,Pune,AI/ML,instagram,20-05-2025
L00451,,AI/ML,Email Campaign,2025/05/09
L00452,Pune,,LinkedIn,2025/02/27
L00453,Pune,Business Analytics,Linkedin,2025/05/02
L00454,Pune,Data Analytics,Referral,2025/01/01
L00455,Bangalore,Data Analytics,instagram,2025/02/03
L00456,Hyderabad,AI/ML,Website,2025/04/06
L00457,Delhi,,Referral,2025/05/06
L00458,Kolkata,AI ml,Website,2025/04/28
L00459,Bangalore,Data Analytics,Website,2025/02/17
L00460,Mumbai,Business Analytics,Instagram,2025/03/30
L00461,Mumbai,,Website,2025/04/27
L00462,Bangalore,data science,instagram,2025/05/09
L00463,Chennai,Business Analytics,,16-01-2025
L00464,,Business Analytics,Instagram,2025/03/10
L00465,Bangalore,AI/ML,Campus Drive,2025/01/22
L00466,Bangalore,AI ml,instagram,2025/04/03
L00467,Kolkata,Business Analytics,Email Campaign,2025/03/17
L00468,Kolkata,Data Science,Campus Drive,2025/06/03
L00469,Hyderabad,,Website,2025/05/24
L00470,Kolkata,Data Science,Email Campaign,2025/06/28
L00471,Hyderabad,AI ml,Campus Drive,2025/03/27
L00472,Pune,Business Analytics,Referral,2025/01/29
L00473,,Business Analytics,LinkedIn,2025/03/10
L00474,Chennai,AI/ML,,2025/02/16
L00475,,AI/ML,LinkedIn,2025/04/04
L00476,Hyderabad,data science,Campus Drive,2025/05/24
L00477,Kolkata,AI/ML,Linkedin,2025/06/25
L00478,Bangalore,data science,instagram,2025/03/26
L00479,Delhi,AI ml,Campus Drive,2025/02/08
L00480,Pune,AI ml,Linkedin,2025/04/10
L00481,Ahmedabad,AI/ML,Email Campaign,2025/02/02
L00482,Mumbai,data science,Linkedin,2025/04/11
L00483,Hyderabad,Data Analytics,Campus Drive,2025/01/23
L00484,,AI/ML,Referral,2025/01/10
L00485,Kolkata,Business Analytics,Campus Drive,2025/03/10
L00486,Pune,data science,instagram,2025/04/10
L00487,Mumbai,Business Analytics,Campus Drive,03-02-2025
L00488,Ahmedabad,data science,Referral,2025/06/29
L00489,Bangalore,,,2025/05/18
L00490,Bangalore,data science,Linkedin,2025/05/27
L00491,Hyderabad,Data Science,LinkedIn,2025/04/06
L00492,Hyderabad,data science,instagram,01-01-2025
L00493,Kolkata,data science,LinkedIn,2025/03/10
L00494,Delhi,Data Analytics,Website,2025/01/04
L00495,Kolkata,Data Analytics,Instagram,2025/01/16
L00496,Chennai,AI ml,LinkedIn,2025/01/24
L00497,Pune,,Website,2025/03/21
L00498,Pune,,Referral,2025/01/02
L00499,,AI/ML,Email Campaign,08-05-2025
L00500,Bangalore,,instagram,2025/06/09
L00501,,Data Analytics,Referral,2025/03/25
L00502,Kolkata,Data Science,Referral,2025/06/01
L00503,,data science,Linkedin,2025/05/20
L00504,Hyderabad,Data Science,Instagram,2025/06/27
L00505,Pune,Data Analytics,,2025/06/12
L00506,Hyderabad,AI/ML,Website,2025/05/04
L00507,Kolkata,Data Science,Email Campaign,
L00508,Mumbai,data science,Campus Drive,2025/02/02
L00509,Hyderabad,data science,LinkedIn,2025/06/10
L00510,,Data Science,Email Campaign,2025/06/28
L00511,Pune,AI/ML,Linkedin,2025/06/20
L00512,Kolkata,Data Science,Campus Drive,2025/04/11
L00513,,Business Analytics,Linkedin,2025/01/12
L00514,Delhi,AI ml,instagram,2025/03/08
L00515,Delhi,Data Analytics,Instagram,2025/03/06
L00516,Kolkata,Data Science,Referral,10-06-2025
L00517,Delhi,Data Science,Linkedin,2025/06/17
L00518,Pune,AI/ML,Email Campaign,2025/03/15
L00519,Mumbai,Data Science,,2025/02/12
L00520,Hyderabad,AI/ML,instagram,2025/02/13
L00521,,Data Analytics,LinkedIn,2025/01/29
L00522,Ahmedabad,Business Analytics,Instagram,2025/05/21
L00523,,,,
L00524,Pune,Data Analytics,Referral,2025/01/12
L00525,Bangalore,Data Science,LinkedIn,2025/04/05
L00526,Chennai,AI ml,Campus Drive,2025/02/15
L00527,Chennai,Business Analytics,Email Campaign,
L00528,,,,
L00529,Pune,,Linkedin,2025/05/10
L00530,Kolkata,data science,Email Campaign,2025/02/04
L00531,Hyderabad,data science,Campus Drive,2025/03/22
L00532,Kolkata,Data Science,Referral,2025/03/31
L00533,Kolkata,data science,Campus Drive,2025/01/08
L00534,Bangalore,,Campus Drive,2025/04/03
L00535,Delhi,,Linkedin,2025/06/03
L00536,Chennai,Data Analytics,Campus Drive,
L00537,Ahmedabad,data science,Website,2025/03/31
L00538,Ahmedabad,data science,LinkedIn,2025/06/11
L00539,Hyderabad,Data Analytics,Instagram,25-04-2025
L00540,Chennai,,Referral,2025/04/15
L00541,Bangalore,AI/ML,Campus Drive,2025/05/15
L00542,,Data Science,,27-02-2025
L00543,Pune,AI/ML,,2025/04/24
L00544,Kolkata,AI/ML,Referral,2025/03/16
L00545,Kolkata,,Referral,2025/06/06
L00546,,Data Science,Email Campaign,2025/04/30
L00547,,AI/ML,Campus Drive,2025/06/13
L00548,,AI ml,Email Campaign,21-01-2025
L00549,,AI ml,Linkedin,2025/06/13
L00550,Delhi,AI ml,Referral,2025/05/18
