Lead_ID,Counselling,Application,Enrolled
L00219,yes,N,N
L00220,no,yes,Yes
L00221,N,,No
L00222,No,yes,yes
L00223,yes,,N
L00224,,,N
L00225,Yes,N,Y
L00226,,Y,yes
L00227,no,,no
L00228,yes,Y,no
L00229,,yes,
L00230,Y,yes,Yes
L00231,Y,no,Yes
L00232,N,yes,Yes
L00233,,yes,N
L00234,No,No,
L00235,N,Y,
L00236,Yes,,Y
L00237,Y,no,Yes
L00238,,yes,N
L00239,yes,no,yes
L00240,no,Y,No
L00241,Y,yes,no
L00242,,,Yes
L00243,Y,No,N
L00244,No,N,Yes
L00245,N,yes,
L00246,N,Y,
L00247,no,no,No
L00248,N,No,
L00249,no,,No
L00250,Y,Yes,Yes
L00251,,,
L00252,no,Yes,No
L00253,Yes,Y,Yes
L00254,,,N
L00255,Yes,Y,no
L00256,Y,No,yes
L00257,Y,N,
L00258,Yes,no,
L00259,N,yes,Y
L00260,no,Yes,No
L00261,No,Yes,N
L00262,No,Y,no
L00263,,Y,N
L00264,No,no,no
L00265,no,,No
L00266,No,,no
L00267,Yes,No,Yes
L00268,no,,Y
L00269,Yes,N,Yes
L00270,N,Yes,No
L00271,,,Yes
L00272,N,no,
L00273,no,No,No
L00274,No,Yes,N
L00275,No,yes,N
L00276,Y,no,
L00277,yes,Yes,
L00278,,No,
L00279,Yes,Yes,No
L00280,No,yes,no
L00281,no,Y,No
L00282,,Y,N
L00283,,N,yes
L00284,,no,yes
L00285,,No,no
L00286,Y,yes,No
L00287,Yes,No,
L00288,No,,Y
L00289,Y,,Y
L00290,No,no,N
L00291,No,yes,Y
L00292,No,Yes,Yes
L00293,,,
L00294,Y,Y,Y
L00295,N,,No
L00296,N,Yes,
L00297,yes,,N
L00298,No,,no
L00299,,N,no
L00300,Yes,,Y
L00301,N,Yes,
L00302,N,No,Yes
L00303,Y,N,No
L00304,No,,No
L00305,,No,
L00306,N,N,Y
L00307,Y,,N
L00308,Yes,no,Yes
L00309,N,,Yes
L00310,,Yes,
L00311,,,N
L00312,Yes,Yes,No
L00313,,Yes,Yes
L00314,,N,N
L00315,no,Y,Y
L00316,,,no
L00317,no,yes,
L00318,yes,Y,no
L00319,,Yes,
L00320,no,no,Yes
L00321,Y,,no
L00322,N,,no
L00323,no,yes,Y
L00324,,N,No
L00325,Y,yes,Y
L00326,,Yes,Yes
L00327,,no,
L00328,Y,,Yes
L00329,yes,,No
L00330,Y,Y,
L00331,no,No,
L00332,N,Y,no
L00333,N,yes,Yes
L00334,no,no,No
L00335,No,,N
L00336,,Yes,
L00337,N,Y,No
L00338,,,Y
L00339,,,No
L00340,yes,yes,Y
L00341,Yes,No,
L00342,Yes,Yes,yes
L00343,No,,Yes
L00344,no,Yes,no
L00345,,No,Yes
L00346,yes,,Yes
L00347,no,Y,no
L00348,N,N,no
L00349,No,yes,Y
L00350,Yes,Y,no
L00351,,No,Y
L00352,yes,no,Y
L00353,,,Y
L00354,,N,No
L00355,N,,N
L00356,no,no,Yes
L00357,Y,No,Yes
L00358,,N,No
L00359,Y,Yes,
L00360,Y,yes,
L00361,Yes,,N
L00362,,yes,no
L00363,Y,Yes,Y
L00364,Y,N,N
L00365,No,N,
L00366,,no,No
L00367,N,Yes,N
L00368,,no,
L00369,No,Y,Y
L00370,No,No,yes
L00371,,,Yes
L00372,no,no,Yes
L00373,Y,Yes,Yes
L00374,N,No,
L00375,,no,Y
L00376,Yes,Yes,no
L00377,Y,Y,
L00378,Y,N,
L00379,no,Yes,Yes
L00380,No,Y,Yes
L00381,,No,
L00382,,,Y
L00383,Y,Y,no
L00384,,no,Yes
L00385,yes,Y,Y
L00386,yes,Yes,
L00387,No,no,Yes
L00388,,Y,
L00389,,Yes,
L00390,N,,
L00391,No,,No
L00392,Y,No,N
L00393,yes,N,
L00394,Yes,yes,
L00395,Yes,N,
L00396,yes,,
L00397,No,,No
L00398,no,N,Yes
L00399,no,Yes,Y
L00400,Yes,no,Y
L00401,No,N,Y
L00402,Y,,no
L00403,yes,N,yes
L00404,Yes,,N
L00405,,No,N
L00406,no,,Y
L00407,no,No,N
L00408,,,
L00409,Y,,Y
L00410,Y,No,Yes
L00411,no,,Y
L00412,No,Y,yes
L00413,,No,N
L00414,no,N,Yes
L00415,yes,No,
L00416,No,yes,Y
L00417,,Y,N
L00418,,Yes,yes
L00419,,Yes,Yes
L00420,Y,no,no
L00421,N,,no
L00422,,No,
L00423,,,
L00424,N,no,
L00425,,Yes,Yes
L00426,Y,No,
L00427,Y,No,
L00428,yes,Yes,N
L00429,Y,No,yes
L00430,No,Y,yes
L00431,Y,,No
L00432,,No,No
L00433,,No,Y
L00434,,no,N
L00435,N,,
L00436,Y,,No
L00437,,yes,Yes
L00438,no,Yes,yes
L00439,no,,
L00440,yes,Yes,
L00441,No,N,
L00442,N,Yes,yes
L00443,,,
L00444,No,no,Yes
L00445,no,,
L00446,No,,
L00447,Y,,no
L00448,yes,N,No
L00449,no,No,Yes
L00450,,yes,Y
L00451,,no,no
L00452,Y,yes,
L00453,no,Y,N
L00454,no,N,Yes
L00455,N,N,No
L00456,yes,,no
L00457,,,N
L00458,,Y,Y
L00459,yes,no,
L00460,no,no,N
L00461,N,yes,
L00462,Y,no,N
L00463,Yes,No,no
L00464,Y,,
L00465,N,no,N
L00466,No,no,N
L00467,no,N,yes
L00468,no,,Yes
L00469,,,
L00470,,,no
L00471,yes,No,Yes
L00472,No,Yes,Yes
L00473,Yes,Yes,
L00474,Yes,Y,Yes
L00475,N,no,
L00476,yes,,yes
L00477,Yes,Y,N
L00478,N,,no
L00479,no,no,yes
L00480,Yes,No,N
L00481,,yes,No
L00482,,no,no
L00483,Yes,Y,N
L00484,Y,Y,no
L00485,N,,yes
L00486,Yes,no,
L00487,Y,,no
L00488,No,Y,yes
L00489,Y,,
L00490,No,,N
L00491,yes,Y,Yes
L00492,no,No,N
L00493,yes,Y,
L00494,yes,,No
L00495,yes,Yes,Yes
L00496,,Yes,
L00497,No,,
L00498,N,yes,N
L00499,Yes,,Y
L00500,Y,Yes,Y
L00501,yes,Yes,Yes
L00502,yes,No,
L00503,Yes,no,yes
L00504,yes,,Y
L00505,No,,Y
L00506,No,No,yes
L00507,,,no
L00508,N,Y,yes
L00509,Yes,Yes,No
L00510,No,,
L00511,,Y,no
L00512,N,,no
L00513,,,
L00514,yes,N,
L00515,N,,
L00516,yes,,
L00517,no,,
L00518,N,,
L00519,no,N,
L00520,Yes,N,
L00521,yes,no,N
L00522,,no,
L00523,yes,yes,No
L00524,,yes,Yes
L00525,Y,No,no
L00526,N,Yes,no
L00527,No,N,
L00528,Yes,Y,Yes
L00529,,,No
L00530,Yes,,no
L00531,N,yes,
L00532,,no,Yes
L00533,No,no,No
L00534,Y,yes,No
L00535,,no,Y
L00536,no,,no
L00537,Y,,no
L00538,,Yes,Yes
L00539,no,Yes,Yes
L00540,no,No,Y
L00541,Y,Yes,
L00542,Yes,yes,Yes
L00543,,yes,Y
L00544,,,N
L00545,yes,,yes
L00546,Yes,Yes,Y
L00547,yes,yes,yes
L00548,Yes,No,N
L00549,Y,No,Y
L00550,Y,no,yes
L00551,Y,No,no
L00552,N,Y,
L00553,yes,Yes,Y
L00554,Yes,,
L00555,,,No
L00556,no,,
L00557,,N,Y
L00558,N,yes,Yes
L00559,Yes,yes,
L00560,Yes,No,
L00561,No,,no
L00562,Yes,No,
L00563,N,No,no
L00564,,yes,Yes
L00565,no,Y,
L00566,Yes,yes,Yes
L00567,No,,
L00568,No,,yes
L00569,no,No,no
L00570,,Y,N
L00571,N,No,
L00572,Yes,Y,yes
L00573,Y,N,no
L00574,Y,N,N
L00575,No,No,No
L00576,no,Y,no
L00577,Y,Yes,no
L00578,No,Y,
L00579,No,,
L00580,N,,No
L00581,Yes,N,
L00582,N,No,No
L00583,no,no,
L00584,Y,No,
L00585,Yes,,No
L00586,,,N
L00587,yes,no,
L00588,,,No
L00589,no,yes,Y
L00590,No,Y,Y
L00591,Yes,Y,no
L00592,Y,,Y
L00593,No,No,No
L00594,No,,No
L00595,,yes,N
L00596,Y,N,Y
L00597,,No,Y
L00598,,Yes,
L00599,yes,Yes,Y
L00600,N,,Y
L00601,,N,Yes
L00602,no,no,
L00603,,N,Yes
L00604,no,Y,no
L00605,No,no,
L00606,Yes,N,
L00607,,N,Y
L00608,yes,no,
L00609,yes,,Yes
L00610,,Y,N
L00611,No,Yes,Yes
L00612,N,no,no
L00613,Yes,Y,
L00614,N,N,Yes
L00615,N,Yes,
L00616,Y,Y,Y
L00617,N,Y,no
L00618,Y,No,
L00619,No,Yes,no
L00620,N,no,no
L00621,,N,No
L00622,Yes,Y,Yes
L00623,,No,N
L00624,,,no
L00625,yes,yes,Yes
L00626,yes,,No
L00627,yes,N,
L00628,no,,No
L00629,yes,,no
L00630,,yes,no
L00631,Y,No,Y
L00632,,Yes,
L00633,Yes,yes,N
L00634,yes,no,N
L00635,N,,no
L00636,No,,
L00637,N,,
L00638,No,No,yes
L00639,Y,Y,Yes
L00640,yes,No,N
L00641,Y,no,no
L00642,Y,,
L00643,Y,No,N
L00644,no,no,N
L00645,yes,no,
L00646,,No,N
L00647,No,,Y
L00648,N,No,N
L00649,no,No,No
L00650,Y,Y,
L00651,No,Y,
L00652,N,N,
L00653,,no,No
L00654,Y,yes,N
L00655,no,,
L00656,Yes,No,
L00657,Y,N,yes
L00658,Y,yes,no
L00659,N,Yes,yes
L00660,No,Yes,
L00661,No,No,N
L00662,,Yes,Y
L00663,,yes,Yes
L00664,,Yes,
L00665,Y,No,Y
L00666,,no,yes
L00667,yes,Y,yes
L00668,No,Y,No
L00669,Yes,Y,Y
L00670,Yes,no,Yes
L00671,,,N
L00672,Y,Yes,No
L00673,No,Y,Yes
L00674,Yes,yes,no
L00675,no,Yes,yes
L00676,,no,
L00677,,N,Yes
L00678,N,Y,Y
L00679,N,Yes,N
L00680,Yes,no,
L00681,No,No,No
L00682,Y,N,
L00683,Yes,Y,
L00684,Y,,
L00685,no,No,yes
L00686,N,No,No
L00687,Yes,,no
L00688,,Y,N
L00689,Y,yes,No
L00690,Yes,,N
L00691,N,No,Yes
L00692,Yes,no,No
L00693,No,yes,No
L00694,,No,no
L00695,N,,N
L00696,No,No,Yes
L00697,,Y,No
L00698,,Y,
L00699,,,
L00700,yes,,no
L00701,No,Yes,N
L00702,,N,No
L00703,No,,
L00704,yes,Y,
L00705,,Y,Yes
L00706,,,Y
L00707,yes,,
L00708,Yes,Yes,No
L00709,Yes,yes,No
L00710,Yes,N,
L00711,No,,Y
L00712,,N,Y
L00713,,Yes,N
L00714,Y,Y,Y
L00715,N,yes,No
L00716,,,
L00717,Y,,N
L00718,,N,Y
L00719,N,Yes,N
L00720,No,Yes,No
L00721,no,N,No
L00722,Yes,Yes,yes
L00723,No,Y,Yes
L00724,no,No,Yes
L00725,Yes,Yes,No
L00726,,yes,
L00727,yes,Y,Y
L00728,,yes,N
L00729,No,No,No
L00730,no,N,Yes
L00731,Y,N,N
L00732,,,Yes
L00733,No,yes,no
L00734,,Yes,No
L00735,Y,,N
L00736,no,,Y
L00737,No,N,No
L00738,,yes,Y
L00739,No,yes,
L00740,,,Y
L00741,,,Yes
L00742,No,Y,no
L00743,,N,
L00744,N,,Yes
L00745,No,yes,
L00746,yes,no,
L00747,No,no,
L00748,no,Y,No
L00749,no,no,
L00750,yes,,
L00751,,Y,
L00752,No,,yes
L00753,,yes,
L00754,No,,yes
L00755,Yes,N,Y
L00756,,Y,Yes
L00757,Yes,,yes
L00758,,no,no
L00759,Y,Yes,
L00760,yes,Yes,No
L00761,Yes,no,Y
L00762,no,,No
L00763,,Yes,
L00764,no,,Y
L00765,,Y,Yes
L00766,no,no,
L00767,yes,No,yes
L00768,,yes,Y
L00769,N,No,Y
L00770,,,
L00771,no,,N
L00772,Yes,Y,Yes
L00773,Yes,no,no
L00774,Y,,No
L00775,Y,,
L00776,yes,,yes
L00777,,,N
L00778,Y,yes,
L00779,yes,,No
L00780,No,,yes
L00781,Y,,N
L00782,yes,No,
L00783,,,no
L00784,,Y,Yes
L00785,,N,
L00786,Yes,,Y
L00787,Y,Y,yes
L00788,Y,,Yes
L00789,,Yes,yes
L00790,,,yes
L00791,N,,Y
L00792,yes,yes,N
L00793,,yes,
L00794,No,No,
L00795,Y,yes,Yes
L00796,yes,No,No
L00797,No,no,Y
L00798,,,No
L00799,yes,no,No
L00800,No,no,
L00801,no,No,N
L00802,,,Y
L00803,Y,,
L00804,no,N,N
L00805,yes,N,no
L00806,no,No,no
L00807,No,no,Y
L00808,Yes,no,no
L00809,N,,N
L00810,no,,Y
L00811,N,yes,
L00812,yes,yes,yes
L00813,Y,No,N
L00814,no,Yes,
L00815,,N,
L00816,no,,
L00817,Yes,Yes,Yes
L00818,yes,yes,Y
L00819,no,,Yes
L00820,Y,,yes
L00821,No,Y,yes
L00822,Y,Yes,N
L00823,no,No,
L00824,,,no
L00825,N,Y,No
L00826,N,No,
L00827,,yes,no
L00828,no,N,Yes
L00829,Yes,No,no
L00830,yes,Yes,No
L00831,Yes,no,yes
L00832,Y,,no
L00833,,No,Yes
L00834,yes,Yes,
L00835,,no,Y
L00836,Yes,No,yes
L00837,no,Y,
L00838,yes,No,no
L00839,No,No,
L00840,No,No,
L00841,Y,Y,Yes
L00842,,No,No
L00843,Yes,,Yes
L00844,N,Y,Yes
L00845,Y,No,
L00846,No,,
L00847,no,no,
L00848,no,no,yes
L00849,no,Y,yes
L00850,N,no,
L00851,no,No,Y
L00852,no,Yes,no
L00853,No,Yes,N
L00854,yes,No,no
L00855,,no,
L00856,N,yes,Yes
L00857,no,,
L00858,N,Yes,no
L00859,N,no,yes
L00860,N,N,yes
L00861,yes,N,no
L00862,,,No
L00863,,Y,no
L00864,no,no,Yes
L00865,,Yes,yes
L00866,Y,,Y
L00867,Yes,yes,
L00868,yes,yes,yes
L00869,,,
L00870,Yes,Yes,Y
L00871,No,No,
L00872,Y,Yes,no
L00873,,Y,Yes
L00874,no,no,Yes
L00875,no,Yes,Yes
L00876,,Y,No
L00877,No,,
L00878,yes,No,no
L00879,,yes,No
L00880,,No,Y
L00881,no,,N
L00882,yes,Yes,No
L00883,no,yes,Yes
L00884,,,yes
L00885,yes,,N
L00886,Yes,,Yes
L00887,yes,no,N
L00888,No,Yes,no
L00889,,N,no
L00890,no,,
L00891,Y,,Yes
L00892,yes,yes,Yes
L00893,Y,Yes,
L00894,,no,
L00895,,Yes,
L00896,yes,Y,no
L00897,Yes,No,
L00898,Y,Yes,No
L00899,No,N,
L00900,Y,,No
L00901,yes,,no
L00902,,N,Yes
L00903,,N,Yes
L00904,No,Y,
L00905,,Y,no
L00906,Yes,N,no
L00907,,Yes,No
L00908,Y,,no
L00909,No,N,Yes
L00910,Y,yes,Yes
L00911,Yes,,no
L00912,Yes,yes,Y
L00913,Yes,No,Yes
L00914,,yes,
L00915,Yes,no,N
L00916,No,Yes,No
L00917,No,,
L00918,,,Y
L00919,,yes,Y
L00920,N,no,yes
L00921,Yes,,Y
L00922,,N,N
L00923,N,no,no
L00924,N,Y,yes
L00925,yes,,
L00926,No,yes,
L00927,Yes,No,
L00928,,no,
L00929,No,N,No
L00930,Y,yes,Y
L00931,,Yes,yes
L00932,yes,No,Yes
L00933,N,yes,Y
L00934,Yes,Yes,
L00935,,,
L00936,yes,no,yes
L00937,N,no,Yes
L00938,No,Yes,
L00939,No,yes,N
L00940,,no,yes
L00941,Y,N,N
L00942,,yes,
L00943,,no,N
L00944,Yes,Y,Yes
L00945,Yes,N,no
L00946,no,,Yes
L00947,N,,Y
L00948,,no,Y
L00949,Y,,
L00950,,no,N
L00951,N,Y,N
L00952,,,
L00953,,N,Y
L00954,yes,N,Y
L00955,,No,No
L00956,,,Y
L00957,Yes,Y,
L00958,no,N,Y
L00959,N,No,
L00960,N,no,
L00961,yes,No,yes
L00962,No,Yes,No
L00963,No,Yes,No
L00964,Y,Yes,Y
L00965,No,Y,yes
L00966,,Yes,yes
L00967,No,yes,Yes
L00968,no,Yes,yes
L00969,,no,yes
L00970,,N,N
L00971,yes,,
L00972,N,,N
L00973,yes,Yes,Yes
L00974,no,No,N
L00975,,no,yes
L00976,yes,no,Yes
L00977,N,Yes,
L00978,yes,N,yes
L00979,Y,No,
L00980,Yes,no,N
L00981,yes,,Y
L00982,yes,,N
L00983,yes,,N
L00984,No,no,
L00985,no,,No
L00986,Y,,No
L00987,N,yes,Y
L00988,No,Y,yes
L00989,no,No,Y
L00990,Y,Yes,No
L00991,N,no,
L00992,,no,
L00993,No,Y,N
L00994,Y,N,No
L00995,yes,Yes,Y
L00996,N,yes,
L00997,No,,
L00998,No,,yes
L00999,Yes,yes,No
L01000,yes,No,Y
L01001,yes,Y,
L01002,No,N,No
L01003,No,N,Y
L01004,,Y,N
L01005,N,,No
L01006,no,no,
L01007,,no,Y
L01008,Yes,no,
L01009,No,no,
L01010,N,Yes,no
L01011,Y,Yes,
L01012,,No,yes
L01013,,,No
L01014,,,yes
L01015,no,yes,no
L01016,No,No,no
L01017,yes,no,no
L01018,Yes,,
L01019,no,Y,yes
L01020,Y,Yes,No
L01021,no,,N
L01022,Yes,,No
L01023,Yes,,yes
L01024,no,Yes,Yes
L01025,Y,N,N
L01026,no,,Y
L01027,,,No
L01028,,,no
L01029,yes,,
L01030,,,yes
L01031,no,N,N
L01032,,,No
L01033,No,Yes,
L01034,No,N,no
L01035,Y,,
L01036,No,Yes,no
L01037,,Y,N
L01038,No,N,no
L01039,,No,No
L01040,N,Yes,No
L01041,no,no,yes
L01042,no,no,
L01043,Yes,No,N
L01044,,No,N
L01045,N,N,N
L01046,,No,yes
L01047,,,N
L01048,No,No,yes
L01049,No,Y,
L01050,N,N,
L01051,N,,Yes
L01052,,,N
L01053,,Yes,
L01054,,,N
L01055,,Y,No
L01056,Yes,,
L01057,Yes,,No
L01058,,,yes
L01059,Y,,Yes
L01060,,N,No
L01061,Yes,Y,N
L01062,Yes,Yes,yes
L01063,No,Y,No
L01064,yes,No,
L01065,Y,yes,
L01066,Y,,Yes
L01067,N,no,Y
L01068,no,No,N
L01069,Y,,no
L01070,Yes,N,
L01071,Y,No,
L01072,Y,Yes,yes
L01073,no,N,no
L01074,no,yes,
L01075,Y,Yes,
L01076,No,No,yes
L01077,Yes,N,Yes
L01078,Yes,Y,
L01079,,N,Y
L01080,Yes,no,N
L01081,,N,N
L01082,no,no,Y
L01083,,No,
L01084,Yes,,yes
L01085,No,,No
L01086,Yes,Yes,No
L01087,no,yes,
L01088,,yes,No
L01089,,No,
L01090,No,yes,
L01091,Y,N,N
L01092,yes,,Y
L01093,,Yes,
L01094,No,,Y
L01095,no,yes,
L01096,,Yes,N
L01097,,No,No
L01098,N,N,
L01099,No,yes,
L01100,No,Yes,no
L01101,no,Y,Y
L01102,,,No
L01103,yes,yes,Yes
L01104,,N,no
L01105,Y,no,
L01106,no,,yes
L01107,Y,yes,Y
L01108,Y,yes,
L01109,N,,Yes
L01110,,Y,No
L01111,,yes,N
L01112,,N,Yes
L01113,,yes,Y
L01114,,No,
L01115,Yes,No,
L01116,No,,Y
L01117,yes,Yes,
L01118,Y,no,
L01119,N,yes,no
L01120,,No,no
L01121,,Yes,
L01122,Y,,N
L01123,No,Y,N
L01124,Yes,N,No
L01125,Yes,,N
L01126,yes,no,yes
L01127,,Y,
L01128,Yes,,no
L01129,yes,Yes,
L01130,yes,Y,Yes
L01131,N,,N
L01132,N,yes,Yes
L01133,N,Y,yes
L01134,Y,,Y
L01135,yes,,Yes
L01136,,No,N
L01137,no,No,
L01138,N,N,Y
L01139,yes,Y,
L01140,,no,
L01141,yes,No,no
L01142,no,Y,Y
L01143,No,yes,Y
L01144,N,N,No
L01145,Yes,,No
L01146,Yes,No,N
L01147,Yes,No,no
L01148,,,N
L01149,No,,
L01150,N,,Yes
L01151,,N,No
L01152,no,Y,
L01153,Yes,Y,Yes
L01154,N,Y,No
L01155,,no,No
L01156,,,Yes
L01157,,No,yes
L01158,Yes,yes,
L01159,,,No
L01160,,,No
L01161,yes,yes,no
L01162,No,,yes
L01163,Yes,Yes,
L01164,No,Y,Yes
L01165,,Yes,yes
L01166,Yes,,N
L01167,Yes,Yes,Yes
L01168,Yes,no,Y
L01169,no,N,no
L01170,yes,no,no
L01171,no,Y,
L01172,,Y,N
L01173,,N,no
L01174,No,Y,Y
L01175,yes,yes,Yes
L01176,,Y,yes
L01177,,yes,No
L01178,Y,Yes,Y
L01179,no,,
L01180,yes,Y,No
L01181,Yes,No,no
L01182,,yes,no
L01183,N,,
L01184,Yes,Y,yes
L01185,,,
L01186,no,yes,No
L01187,yes,yes,No
L01188,N,Y,N
L01189,no,Yes,No
L01190,Y,N,
L01191,No,Y,no
L01192,,Yes,N
L01193,,Yes,yes
L01194,no,,Y
L01195,,Y,Yes
L01196,,,Y
L01197,N,No,no
L01198,No,No,
L01199,N,Yes,No
L01200,yes,yes,Y
L01201,,,
L01202,N,No,no
L01203,N,Y,
L01204,,,N
L01205,Y,No,N
L01206,,yes,
L01207,no,No,Y
L01208,yes,Y,
L01209,,,
L01210,N,Y,No
L01211,N,Yes,No
L01212,N,no,no
L01213,no,yes,N
L01214,,No,Yes
L01215,N,N,yes
L01216,Yes,,N
L01217,yes,,Yes
L01218,Y,Yes,N
L01219,N,no,no
L01220,yes,no,no
L01221,N,N,no
L01222,Y,Yes,Yes
L01223,Yes,Y,N
L01224,N,Y,yes
L01225,Yes,,Y
L01226,No,yes,no
L01227,No,yes,No
L01228,Yes,,no
L01229,Yes,N,No
L01230,No,Y,no
L01231,No,yes,no
L01232,No,yes,no
L01233,yes,No,N
L01234,Yes,,
L01235,no,,Y
L01236,Y,,
L01237,Y,yes,
L01238,,Y,Y
L01239,Y,Yes,N
L01240,Y,no,
L01241,No,Y,Y
L01242,No,yes,
L01243,,Y,no
L01244,,N,
L01245,Yes,Y,N
L01246,,no,yes
L01247,No,,Yes
L01248,,yes,yes
L01249,,Yes,
L01250,Y,Yes,
L01251,,No,
L01252,yes,,no
L01253,,N,Y
L01254,,no,no
L01255,N,,Yes
L01256,yes,Y,
L01257,no,N,
L01258,,no,Y
L01259,Yes,no,Y
L01260,yes,Yes,Y
L01261,yes,no,Yes
L01262,,no,N
L01263,yes,N,yes
L01264,Y,Y,
L01265,Y,No,No
L01266,,N,
L01267,no,Y,No
L01268,No,no,No
L01269,No,,Yes
L01270,No,No,
L01271,,,
L01272,yes,no,No
L01273,No,yes,N
L01274,N,N,Y
L01275,No,yes,no
L01276,,yes,
L01277,Y,N,Yes
L01278,Y,No,yes
L01279,No,Y,
L01280,Y,No,No
L01281,,,Yes
L01282,Y,no,No
L01283,yes,Y,Y
L01284,no,Yes,
L01285,Y,Y,N
L01286,,Y,yes
L01287,,,No
L01288,no,No,
L01289,,,Y
L01290,,yes,N
L01291,N,No,
L01292,Yes,Yes,no
L01293,No,yes,
L01294,,Y,No
L01295,,,Y
L01296,no,No,
L01297,,Yes,Yes
L01298,no,No,yes
L01299,Yes,Y,Y
